RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
61639,10025,1,3134,3065,3082,3159,3119,3099,3134,3164,3170,3235,3189,3173,3199,3210,3236,3231,3251,3253,3270,3264,3294,3324,3286,3242,3228,3266,3271,3318,3322,3336,3206,3279,3298,3285,3277,3269,3315,3245,3186,3239,3292,3297,3316,3305,3299,3258,3249,3241,3193,3199,3218,3245,3279,3296,3302,3307,3300,3304,3238,3194,3213,3212,3229,3239,3308,3331,3347,3367,3371,3348,3331,3327,3332,3395,3370,3306,3275,3213
84654,60657,2,1673,1663,1674,1711,1725,1770,1768,1757,1735,1729,1720,1713,1728,1742,1734,1764,1792,1823,1830,1830,1803,1785,1757,1762,1772,1783,1814,1840,1859,1881,1892,1892,1875,1842,1816,1820,1851,1855,1883,1898,1907,1916,1931,1905,1891,1859,1837,1829,1878,1889,1897,1904,1916,1927,1936,1917,1882,1825,1822,1830,1860,1882,1905,1929,1943,1957,1966,1960,1947,1924,1912,1904,1936,1974,1974,1974,1970,1953
61637,10023,3,3087,3025,3085,3138,3157,3225,3202,3192,3209,3160,3222,3193,3195,3161,3175,3191,3185,3202,3228,3261,3277,3288,3244,3224,3231,3221,3247,3291,3290,3284,3281,3280,3280,3264,3179,3201,3187,3221,3203,3248,3318,3333,3306,3258,3205,3215,3200,3173,3181,3175,3208,3247,3301,3278,3247,3265,3257,3249,3244,3237,3212,3211,3216,3285,3315,3336,3341,3338,3312,3314,3328,3263,3322,3315,3333,3305,3269,3246
91982,77494,4,1813,1877,1854,1885,1898,1925,1923,1920,1916,1900,1882,1907,1894,1877,1903,1921,1928,1928,1928,1928,1918,1919,1896,1871,1869,1848,1821,1829,1838,1850,1858,1846,1836,1846,1799,1805,1793,1796,1801,1812,1813,1824,1812,1793,1816,1840,1831,1838,1886,1869,1854,1850,1852,1845,1847,1850,1842,1837,1831,1840,1834,1846,1862,1874,1876,1879,1877,1886,1864,1862,1855,1862,1865,1866,1869,1861,1855,1873
84616,60614,5,1870,1782,1840,1869,1901,1915,1938,1927,1929,1908,1911,1888,1868,1889,1874,1933,1962,1991,2006,2013,2003,1965,1943,1960,1986,2022,2005,2037,2069,2086,2094,2083,2062,2021,2018,2002,1990,2033,2062,2085,2101,2105,2108,2095,2067,2041,2020,2039,2058,2071,2104,2106,2122,2129,2116,2106,2097,2028,2025,2040,2090,2118,2129,2147,2165,2159,2163,2176,2166,2147,2137,2129,2128,2146,2160,2182,2185,2174
91940,77449,6,1276,1220,1258,1284,1291,1319,1332,1341,1346,1337,1337,1340,1336,1344,1352,1365,1373,1378,1386,1396,1400,1389,1390,1384,1375,1380,1393,1397,1404,1401,1403,1409,1406,1394,1395,1381,1383,1385,1383,1393,1391,1400,1402,1408,1424,1430,1428,1427,1432,1435,1436,1449,1458,1453,1459,1460,1451,1451,1452,1441,1438,1448,1460,1465,1475,1478,1483,1477,1479,1458,1460,1465,1478,1483,1486,1499,1515,1522
61616,10002,7,2843,2828,2861,2875,2914,2917,2963,2966,2951,2930,2933,2948,2933,2889,2921,2999,2995,3017,3043,3046,3069,3039,3005,2986,3001,3022,3011,3029,3066,3120,3142,3137,3136,3132,3059,3083,3101,3134,3119,3115,3123,3136,3136,3143,3136,3106,3044,3035,3049,3110,3142,3152,3167,3174,3200,3216,3180,3147,3111,3127,3130,3162,3149,3200,3219,3255,3260,3294,3336,3291,3235,3221,3260,3314,3315,3271,3247,3187
91733,77084,8,1123,1199,1180,1213,1232,1259,1276,1288,1292,1295,1295,1292,1283,1279,1296,1299,1309,1309,1324,1333,1339,1340,1349,1335,1342,1323,1331,1334,1294,1309,1321,1335,1342,1336,1331,1321,1318,1304,1325,1332,1328,1329,1339,1324,1350,1357,1367,1366,1379,1381,1370,1385,1385,1385,1383,1398,1398,1396,1406,1386,1376,1388,1408,1416,1422,1416,1425,1427,1411,1398,1394,1411,1400,1406,1421,1416,1423,1429
93144,79936,9,948,1022,981,971,976,942,929,946,948,965,952,961,953,964,966,964,965,966,964,973,973,968,962,955,960,971,970,970,962,965,961,978,971,950,948,955,951,951,951,960,957,960,962,970,967,962,974,974,964,967,963,968,971,976,971,981,977,952,962,981,985,958,976,979,990,992,966,986,1002,1010,1017,1020,1026,1025,1024,1035,1039,1038
84640,60640,10,1276,1308,1293,1306,1311,1312,1321,1325,1326,1316,1317,1312,1315,1319,1302,1325,1355,1364,1371,1386,1392,1372,1375,1380,1368,1372,1389,1406,1410,1423,1431,1428,1422,1402,1382,1403,1404,1416,1435,1439,1454,1454,1450,1453,1435,1416,1403,1415,1412,1431,1458,1450,1464,1483,1484,1464,1449,1448,1449,1456,1456,1463,1472,1475,1487,1505,1516,1498,1507,1493,1482,1486,1502,1503,1481,1481,1504,1510
62037,11226,11,1712,1737,1719,1733,1813,1807,1830,1814,1818,1826,1833,1777,1793,1844,1867,1894,1901,1923,1937,1954,1951,2004,1992,1948,1972,1993,1995,1988,2043,2105,2106,2097,2091,2057,2071,2053,2082,2073,2048,2032,2065,2069,2072,2096,2076,2052,2057,2042,2029,2047,2074,2125,2136,2139,2164,2174,2155,2137,2114,2102,2098,2103,2136,2142,2172,2177,2168,2175,2214,2178,2157,2152,2168,2126,2194,2193,2204,2183
92593,78660,13,1249,1309,1284,1315,1334,1341,1440,1476,1397,1381,1346,1326,1346,1341,1322,1363,1382,1415,1410,1429,1435,1427,1425,1414,1413,1425,1421,1418,1440,1445,1449,1463,1469,1469,1459,1449,1430,1416,1448,1413,1436,1449,1450,1474,1464,1457,1432,1444,1435,1444,1448,1457,1460,1467,1467,1477,1490,1523,1535,1504,1495,1461,1464,1484,1490,1485,1503,1505,1511,1506,1540,1556,1502,1527,1527,1521,1523,1514
97564,94109,14,,2349,2569,2516,2641,2643,2636,2737,2830,2883,2937,2944,3030,,3085,2971,3049,3104,3198,3319,3254,3341,3313,3235,3338,3322,3191,3212,3317,3308,3227,3193,3136,3147,3145,3091,3117,3155,3181,3114,3116,3139,3185,3185,3167,3162,3102,3173,3153,3157,3139,3185,3160,3150,3208,3213,3235,3246,3249,3256,3289,3249,3229,3220,3259,3283,3316,3278,3289,3267,3245,3200,3241,3252,3242,3291,3228,3191
61630,10016,16,3175,3217,3230,3238,3252,3321,3339,3353,3350,3360,3337,3328,3334,3337,3355,3413,3429,3482,3473,3473,3472,3452,3431,3415,3408,3413,3417,3448,3476,3493,3398,3444,3468,3457,3424,3388,3389,3399,3406,3445,3460,3479,3509,3506,3490,3462,3397,3387,3407,3407,3429,3438,3494,3509,3524,3523,3526,3511,3472,3472,3451,3450,3463,3527,3551,3601,3618,3617,3630,3586,3578,3535,3541,3594,3583,3541,3501,3472
